geo,name,four_regions,eight_regions
aus,Australia,asia,east_asia_pacific
brn,Brunei,asia,east_asia_pacific
khm,Cambodia,asia,east_asia_pacific
chn,China,asia,east_asia_pacific
fji,Fiji,asia,east_asia_pacific
hkg,"Hong Kong, China",asia,east_asia_pacific
idn,Indonesia,asia,east_asia_pacific
jpn,Japan,asia,east_asia_pacific
kir,Kiribati,asia,east_asia_pacific
prk,North Korea,asia,east_asia_pacific
kor,South Korea,asia,east_asia_pacific
lao,Lao,asia,east_asia_pacific
mys,Malaysia,asia,east_asia_pacific
mhl,Marshall Islands,asia,east_asia_pacific
fsm,"Micronesia, Fed. Sts.",asia,east_asia_pacific
mng,Mongolia,asia,east_asia_pacific
mmr,Myanmar,asia,east_asia_pacific
nru,Nauru,asia,east_asia_pacific
nzl,New Zealand,asia,east_asia_pacific
plw,Palau,asia,east_asia_pacific
png,Papua New Guinea,asia,east_asia_pacific
phl,Philippines,asia,east_asia_pacific
wsm,Samoa,asia,east_asia_pacific
sgp,Singapore,asia,east_asia_pacific
slb,Solomon Islands,asia,east_asia_pacific
twn,Taiwan,asia,east_asia_pacific
tha,Thailand,asia,east_asia_pacific
tls,Timor-Leste,asia,east_asia_pacific
ton,Tonga,asia,east_asia_pacific
tuv,Tuvalu,asia,east_asia_pacific
vut,Vanuatu,asia,east_asia_pacific
vnm,Vietnam,asia,east_asia_pacific
alb,Albania,europe,europe_east
and,Andorra,europe,europe_west
arm,Armenia,europe,europe_east
aut,Austria,europe,europe_west
aze,Azerbaijan,europe,europe_east
blr,Belarus,europe,europe_east
bel,Belgium,europe,europe_west
bih,Bosnia and Herzegovina,europe,europe_east
bgr,Bulgaria,europe,europe_east
hrv,Croatia,europe,europe_east
cyp,Cyprus,europe,europe_west
cze,Czech Republic,europe,europe_east
dnk,Denmark,europe,europe_west
est,Estonia,europe,europe_east
fin,Finland,europe,europe_east
fra,France,europe,europe_west
geo,Georgia,europe,europe_east
deu,Germany,europe,europe_west
grc,Greece,europe,europe_west
hun,Hungary,europe,europe_east
isl,Iceland,europe,europe_west
irl,Ireland,europe,europe_west
ita,Italy,europe,europe_west
kaz,Kazakhstan,asia,asia_west
kgz,Kyrgyz Republic,asia,asia_west
lva,Latvia,europe,europe_east
lie,Liechtenstein,europe,europe_west
ltu,Lithuania,europe,europe_east
lux,Luxembourg,europe,europe_west
mkd,North Macedonia,europe,europe_east
mda,Moldova,europe,europe_east
mco,Monaco,europe,europe_west
mne,Montenegro,europe,europe_east
nld,Netherlands,europe,europe_west
nor,Norway,europe,europe_west
pol,Poland,europe,europe_west
prt,Portugal,europe,europe_west
rou,Romania,europe,europe_east
rus,Russia,europe,europe_east
smr,San Marino,europe,europe_west
srb,Serbia,europe,europe_east
svk,Slovak Republic,europe,europe_east
svn,Slovenia,europe,europe_east
esp,Spain,europe,europe_west
swe,Sweden,europe,europe_west
che,Switzerland,europe,europe_west
tjk,Tajikistan,asia,asia_west
tur,Turkey,europe,europe_east
tkm,Turkmenistan,asia,asia_west
ukr,Ukraine,europe,europe_east
gbr,United Kingdom,europe,europe_west
uzb,Uzbekistan,asia,asia_west
atg,Antigua and Barbuda,americas,america_north
arg,Argentina,americas,america_south
bhs,Bahamas,americas,america_north
brb,Barbados,americas,america_north
blz,Belize,americas,america_north
bol,Bolivia,americas,america_south
bra,Brazil,americas,america_south
chl,Chile,americas,america_south
col,Colombia,americas,america_south
cri,Costa Rica,americas,america_north
cub,Cuba,americas,america_north
dma,Dominica,americas,america_north
dom,Dominican Republic,americas,america_north
ecu,Ecuador,americas,america_south
slv,El Salvador,americas,america_north
grd,Grenada,americas,america_north
gtm,Guatemala,americas,america_north
guy,Guyana,americas,america_south
hti,Haiti,americas,america_north
hnd,Honduras,americas,america_north
jam,Jamaica,americas,america_north
mex,Mexico,americas,america_north
nic,Nicaragua,americas,america_north
pan,Panama,americas,america_north
pry,Paraguay,americas,america_south
per,Peru,americas,america_south
kna,St. Kitts and Nevis,americas,america_north
lca,St. Lucia,americas,america_north
vct,St. Vincent and the Grenadines,americas,america_north
sur,Suriname,americas,america_south
tto,Trinidad and Tobago,americas,america_north
ury,Uruguay,americas,america_south
ven,Venezuela,americas,america_south
mlt,Malta,europe,europe_west
dza,Algeria,africa,africa_north
bhr,Bahrain,asia,asia_west
dji,Djibouti,africa,africa_north
egy,Egypt,africa,africa_north
irn,Iran,asia,asia_west
irq,Iraq,asia,asia_west
isr,Israel,asia,asia_west
jor,Jordan,asia,asia_west
kwt,Kuwait,asia,asia_west
lbn,Lebanon,asia,asia_west
lby,Libya,africa,africa_north
mar,Morocco,africa,africa_north
omn,Oman,asia,asia_west
qat,Qatar,asia,asia_west
sau,Saudi Arabia,asia,asia_west
syr,Syria,asia,asia_west
tun,Tunisia,africa,africa_north
are,United Arab Emirates,asia,asia_west
pse,Palestine,asia,asia_west
yem,Yemen,asia,asia_west
can,Canada,americas,america_north
usa,United States,americas,america_north
afg,Afghanistan,asia,asia_west
bgd,Bangladesh,asia,asia_west
btn,Bhutan,asia,asia_west
ind,India,asia,asia_west
mdv,Maldives,asia,asia_west
npl,Nepal,asia,asia_west
pak,Pakistan,asia,asia_west
lka,Sri Lanka,asia,asia_west
ago,Angola,africa,africa_sub_saharan
ben,Benin,africa,africa_sub_saharan
bwa,Botswana,africa,africa_sub_saharan
bfa,Burkina Faso,africa,africa_sub_saharan
bdi,Burundi,africa,africa_sub_saharan
cmr,Cameroon,africa,africa_sub_saharan
cpv,Cape Verde,africa,africa_sub_saharan
caf,Central African Republic,africa,africa_sub_saharan
tcd,Chad,africa,africa_sub_saharan
com,Comoros,africa,africa_sub_saharan
cod,"Congo, Dem. Rep.",africa,africa_sub_saharan
cog,"Congo, Rep.",africa,africa_sub_saharan
civ,Cote d'Ivoire,africa,africa_sub_saharan
gnq,Equatorial Guinea,africa,africa_sub_saharan
eri,Eritrea,africa,africa_sub_saharan
eth,Ethiopia,africa,africa_sub_saharan
gab,Gabon,africa,africa_sub_saharan
gmb,Gambia,africa,africa_sub_saharan
gha,Ghana,africa,africa_sub_saharan
gin,Guinea,africa,africa_sub_saharan
gnb,Guinea-Bissau,africa,africa_sub_saharan
ken,Kenya,africa,africa_sub_saharan
lso,Lesotho,africa,africa_sub_saharan
lbr,Liberia,africa,africa_sub_saharan
mdg,Madagascar,africa,africa_sub_saharan
mwi,Malawi,africa,africa_sub_saharan
mli,Mali,africa,africa_sub_saharan
mrt,Mauritania,africa,africa_sub_saharan
mus,Mauritius,africa,africa_sub_saharan
moz,Mozambique,africa,africa_sub_saharan
nam,Namibia,africa,africa_sub_saharan
ner,Niger,africa,africa_sub_saharan
nga,Nigeria,africa,africa_sub_saharan
rwa,Rwanda,africa,africa_sub_saharan
stp,Sao Tome and Principe,africa,africa_sub_saharan
sen,Senegal,africa,africa_sub_saharan
syc,Seychelles,africa,africa_sub_saharan
sle,Sierra Leone,africa,africa_sub_saharan
som,Somalia,africa,africa_sub_saharan
zaf,South Africa,africa,africa_sub_saharan
sdn,Sudan,africa,africa_sub_saharan
swz,Eswatini,africa,africa_sub_saharan
tza,Tanzania,africa,africa_sub_saharan
tgo,Togo,africa,africa_sub_saharan
uga,Uganda,africa,africa_sub_saharan
zmb,Zambia,africa,africa_sub_saharan
zwe,Zimbabwe,africa,africa_sub_saharan
ssd,South Sudan,africa,africa_sub_saharan
hos,Holy See,europe,europe_west
